user,text,score,ID,Thumbs Up Count,date,sentiment,sentiment_description,interpreted_sentiment,sentiment_score,,,,
Hilda Velazquez,Buenas ganancias,5,gp:AOqpTOH4chOLM4IsyXiAIMJGuZKJfam00kKpUNFnXkzCiPKty1GL5uhe1W-RUll2hDMxVg_yTKOoTGzDfyQTR-Y,0,2021-06-29 19:24,"The sentiment of the text ""Buenas ganancias"" is generally positive. The phrase translates to ""good profits"" in English, which indicates a positive outcome or result in a financial context. The word ""buenas"" (good) is a positive adjective, and ""ganancias"" (profits) is generally associated with positive outcomes in business or finance.",Buenas ganancias,positive,1,,,,
Jose Funes,Excelente,5,gp:AOqpTOFCC8jBxqfZicUljDxKCS1MgWuCctHcfoW7aoMCKFJEROoJYLTmvBpwYknPRuTv8M43Kkfi7QjfFijjBC4,0,2021-06-29 19:22,"The sentiment of the text is positive. The word ""Excelente"" is Spanish and translates to ""Excellent"" in English, which is a positive sentiment.",Excelente,positive,1,,,,
frander eulate,Me gusta!!!!!!!!!!!!!!,5,gp:AOqpTOE5SzA_R7COtyJN8xvAyCUohbQsBzpzQ4awcCV-hZl8ksgLi0tiDDScjDsWJ28Kly_DQdNBDmREC5Hpkuc,0,2021-06-29 19:22,"The sentiment of the text is positive. The phrase ""Me gusta"" is Spanish for ""I like it"". The excessive use of exclamation marks indicates a high level of enthusiasm or excitement, which contributes to the positive sentiment.",Me gusta!!!!!!!!!!!!!!,positive,1,,,,
nilser chuquibal,Buena aplicacion para trabajar en tiempos libres y tiempo completo..,5,gp:AOqpTOEkVFN0lnNmpyjqkMONLcBhBVJ1nuzYG9OQ82f-JDUZ4fl8GduJMv1yAPlaPBigSlpfoXKLtAM4BcPFuCI,0,2021-06-29 19:21,"The sentiment of the text is generally positive. The text is in Spanish and translates to ""Good application to work in free time and full time."" The use of the word ""buena"" (good) indicates a positive sentiment towards the application being discussed. The text suggests satisfaction with the flexibility of the application, as it can be used both in free time and full time.",Buena aplicacion para trabajar en tiempos libres y tiempo completo..,positive,1,,,,
Eric Espinosa,Buena app,5,gp:AOqpTOHfN4DIMZOdYH47yt-f7ujcEU8NQjIQHTcNfZtvgWbmf5laZsrkM637UJoBlWPBz17_rh6ZeJgmmWI5ezw,0,2021-06-29 19:20,"The sentiment of the text is positive. The text is in Spanish and translates to ""Good app"" in English. This indicates a positive sentiment as the user is expressing a positive opinion about the app.",Buena app,positive,1,,,,
Karriel Ravenclaw,Muy buena pero deberian mejorar la tarifa base.,5,gp:AOqpTOHHEnzd_LI-5uRSj6v8tQG108wsAu05fMAN23aBbw1u46XQPFyrePWsS2xOYqyrwr8zJ6YsoSHSaoFW1FE,0,2021-06-29 19:18,"The sentiment of the text is generally mixed. The phrase ""Muy buena"" translates to ""very good,"" indicating a positive sentiment. However, the latter part of the sentence ""deberian mejorar la tarifa base"" translates to ""they should improve the base rate,"" which suggests a negative sentiment or dissatisfaction with a certain aspect. Therefore, the overall sentiment is neither completely positive nor negative, but a mix of both.",Muy buena pero deberian mejorar la tarifa base.,positive,1,,,,
Matias Guerrero Mas,"Al momento con mis tres primeros pedidos muy buena!! Para la bicicleta se podria centralizar algo mas, ya que hay motos tambien en en este trabajo, pero bueno... Vamos a darle!!",5,gp:AOqpTOG0OJROsYgNxBtxrUdnUaVIk4jSE8i9fC2_bi8xzdgGEgfMeJFyUp_gfr861gF4c6eh5-mvGNkgbkWVRSk,0,2021-06-29 19:10,"The sentiment of the text is generally positive. The author expresses satisfaction with their first three orders, indicating a positive experience. The use of ""muy buena"" (very good) further emphasizes this positive sentiment. There is a slight negative sentiment when the author mentions that the bicycle could be more central, suggesting some dissatisfaction. However, this is immediately followed by a positive and enthusiastic statement ""Vamos a darle"" (Let's go for it), which indicates a positive attitude and willingness to continue despite minor issues.","Al momento con mis tres primeros pedidos muy buena!! Para la bicicleta se podria centralizar algo mas, ya que hay motos tambien en en este trabajo, pero bueno... Vamos a darle!!",positive,1,,,,
Milagros Medina,Me gusta mucho.!,5,gp:AOqpTOFraeGCE9sM18JhOlZwQWaq0aK1CNnVjXdH5fvjf2wDD5nFw4v7XWyqr_kXWh8YYGHnHkYhAKDHOgw1Z8U,0,2021-06-29 19:08,"The sentiment of the text is positive. The phrase ""Me gusta mucho"" is Spanish and translates to ""I like it a lot"" in English. This indicates a strong positive sentiment as the speaker is expressing a high degree of liking or enjoyment.",Me gusta mucho.!,positive,1,,,,
Damian Gonzalez,Muy buena la aplicacion es sencilla I cuando subes de nivel tedan mas pedido excelente muy buena,5,gp:AOqpTOFD88yIIGHCICE-P9Vvd5mk9MM2Gv5GUWY7XfnKRrix8ACM2oZeyERk8BboOv2OJtEXpmfQrh0JOrnHgnc,0,2021-06-29 19:06,"The sentiment of the text is generally positive. The user describes the application as ""very good"" and ""excellent"", and appreciates its simplicity and the fact that it gives more orders as you level up. These are all positive evaluations, indicating satisfaction with the application.",Muy buena la aplicacion es sencilla I cuando subes de nivel tedan mas pedido excelente muy buena,positive,1,,,,
Nestor Rodriguez,Muy malo el servicio,1,gp:AOqpTOHAY4QkmySMyc0SNqLRUT9EMlT6ikf6VObMMlS2Ftybh9nH3ssXoPKMhCWSHmZ7z-42a_RxjfOieRUxWwk,0,2021-06-29 18:58,"The sentiment of the text is negative. The Spanish phrase ""Muy malo el servicio"" translates to ""Very bad service"" in English. This indicates dissatisfaction and a negative experience with the service mentioned.",Muy malo el servicio,negative,-1,,,,
Jaguar LD,La verdad muchos se quejan pero a mi me a funcionado excelente hasta los momentos lastima q cambien tanto las cosas ahora con estas reservas de verdad q inventan mucho eso de verdad q no sirve . Aunq el mayor problema lo tienen los de soporte de verdad q le falta mas adiestramiento para solucionar los problemas de los rt solo generar reportes no es la idea de su trabajo sino ayudar a los requerimientos de los rt para un mejor desempe√±o.. (QUITEN LAS RESERVAS)..,5,gp:AOqpTOE-1neP5q3-EEwrwjhoc1RMJQNMl8aLQYrrWN1OJG4EuD_H_MMSq1q2kNFtam0ZrjcApBiWhRGzQXpfjcY,1,2021-06-29 18:53,"The sentiment of the text is generally negative. The author expresses dissatisfaction with several aspects, such as frequent changes (""lastima q cambien tanto las cosas""), the introduction of reservations (""reservas de verdad q inventan mucho eso de verdad q no sirve""), and the perceived lack of training in the support team (""el mayor problema lo tienen los de soporte de verdad q le falta mas adiestramiento""). However, the author also mentions a positive experience (""a mi me a funcionado excelente hasta los momentos""), which slightly mitigates the overall negative sentiment.",La verdad muchos se quejan pero a mi me a funcionado excelente hasta los momentos lastima q cambien tanto las cosas ahora con estas reservas de verdad q inventan mucho eso de verdad q no sirve . Aunq el mayor problema lo tienen los de soporte de verdad q le falta mas adiestramiento para solucionar los problemas de los rt solo generar reportes no es la idea de su trabajo sino ayudar a los requerimientos de los rt para un mejor desempeño.. (QUITEN LAS RESERVAS)..,positive,1,,,,
Lucas Michelini,üí£,5,gp:AOqpTOH3C230t-inGoY2UVK0HVhTYpuKGBO5iIk8qsWOZjOHFB7CyNiHR-IM05KX4GSLu0KmD6E4v4KYBxf7oPE,0,2021-06-29 18:52,"As an AI, I interpret symbols based on their common meanings. The bomb emoji (üí£) is often used to express strong negative emotions such as anger, frustration, or disappointment. However, without any accompanying text or context, it's difficult to determine the exact sentiment. Therefore, I would classify this as potentially negative, but it's largely dependent on the context in which it's used.",,neutral,0,,,,
Michael Duarte,Pesimobsoporte,1,gp:AOqpTOHXv2to-XJrjK9xWw5XD7WOLVjG_xMqcXL3BsTIYeqwvs16Asv_1v3PXqiBZZamSGKi1xLzu_ESZYIL8AE,0,2021-06-29 18:49,"The text provided, ""Pesimobsoporte,"" does not appear to be a standard word or phrase in any language, making it impossible to analyze its sentiment. It might be a typo, a code, or a non-standard term. Therefore, the sentiment of this text is undeterminable.",Pesimobsoporte,negative,-1,,,,
Randy Jesus Hernandez Medina,"Porque estan mandando domicilios tan baratos, si al cliente le cobran bien. Ordenes de recogida a largas distancias, pagos muy por debajo del kilometraje, la consigna es que un RT. Gana bastante, pero no ven lo que se tiene que hacer para ganarlos. Ordenes de 2.000 y 3.000 pesos para recoger a mas de 3 kilometros y entregar a mas de 3 kilometros. Se deben realizar mas de 25 ordenens para poder alcanzar un minimo, sin meter gasto del vehiculo...",4,gp:AOqpTOFg4PEpXG9uOamvNIbq_F-VJ6E75VA68zWh6c5Anc2va5qC8d7Ip5GuQeJ_lIpL8-pQNwurz60AMdXdAhQ,4,2021-06-29 18:47,"The sentiment of the text is generally negative. The author expresses dissatisfaction and frustration with the low payments for delivery services, despite the high charges to customers. They also mention the long distances they have to travel for pick-ups and deliveries, and the high number of orders they need to complete to reach a minimum income, without considering vehicle expenses. The tone is critical and discontented, indicating a negative sentiment.","Porque estan mandando domicilios tan baratos, si al cliente le cobran bien. Ordenes de recogida a largas distancias, pagos muy por debajo del kilometraje, la consigna es que un RT. Gana bastante, pero no ven lo que se tiene que hacer para ganarlos. Ordenes de 2.000 y 3.000 pesos para recoger a mas de 3 kilometros y entregar a mas de 3 kilometros. Se deben realizar mas de 25 ordenens para poder alcanzar un minimo, sin meter gasto del vehiculo...",negative,-1,,,,
Alvaro Hernandez,Muy buena dinamica de trabajo,5,gp:AOqpTOFrQHIM9kuHegc7ZiqeeI5oL0hW3_VdUsGhgA2af7KIhP25pIY0TOsV3NF6rm7Fh0oAHS4ulApphKCvTxw,0,2021-06-29 18:44,"The sentiment of the text is generally positive. The phrase ""Muy buena dinamica de trabajo"" translates to ""Very good work dynamic"" in English. This indicates a positive sentiment as it suggests satisfaction or approval of the work dynamic.",Muy buena dinamica de trabajo,positive,1,,,,
Un usuario de Google,Execelente,5,gp:AOqpTOHUSJo7H3G3F6UVSAnwsdxYDejr3SCJqDdUtYbZrTV_Q5sZ1M3JBfHXuiX3IZpDaoPIucTaRpRUxk-p3Xk,0,2021-06-29 18:42,"The sentiment of the text is positive. The word ""Execelente"" seems to be a misspelling of the Spanish word ""Excelente"", which translates to ""Excellent"" in English. This word is generally used to express a high degree of satisfaction or approval, which is a positive sentiment.",Execelente,positive,1,,,,
Daniel Casta√±eda Marin,"Me molesta que ya llevo 4 videos grabados y """"reconocidos"""" para ingresar a la app. Pero cada vez que le voy a dar en conectar me lo solicita nuevamente. No me ha dejado pasar de ahi, es muy molesto porque a parte baja la calidad de la luz y solo cuando te flashean literalmente inicia la grabacion, para ahi si restaurar la luz normal del dispositivo. No sia quiian programo la app, pero espero que no haya sido del SENA, porque me sentiria decepcionado.",2,gp:AOqpTOH2M2gYzQD4v9Ce-erETUTEwfw6BFlmg1E-G38TVneMr60HhxqlWzJA4dl1iQfl0jvPiNKVmd_MSSmjblY,0,2021-06-29 18:41,"The sentiment of the text is negative. The author expresses frustration and annoyance with an app that is not functioning as expected. They mention being bothered by having to repeatedly record videos to access the app, the app's impact on their device's light quality, and the triggering of recording only when they are literally flashed. They also express disappointment and hope that the app was not programmed by SENA. The language used and the overall tone of the discussion indicate dissatisfaction and frustration.","Me molesta que ya llevo 4 videos grabados y """"reconocidos"""" para ingresar a la app. Pero cada vez que le voy a dar en conectar me lo solicita nuevamente. No me ha dejado pasar de ahi, es muy molesto porque a parte baja la calidad de la luz y solo cuando te flashean literalmente inicia la grabacion, para ahi si restaurar la luz normal del dispositivo. No sia quiian programo la app, pero espero que no haya sido del SENA, porque me sentiria decepcionado.",positive,1,,,,
Yosh De Romo,"La iba a descargar ,pero al ver tanto comentario negativo ,se me quitaron las ganas ja ja",1,gp:AOqpTOHynvBFnkACGdrvqyhv7OppEFYPy1o36vzcnuqy2Pc4TC291dsMxxK6IJo5gVfl4MxmMFop7CCGd29XgFk,0,2021-06-29 18:34,"The sentiment of the text is generally negative. The speaker was considering downloading something, but after seeing many negative comments, they lost their desire to do so. The use of phrases like ""tanto comentario negativo"" (so many negative comments) and ""se me quitaron las ganas"" (I lost the desire) contribute to the overall negative sentiment.","La iba a descargar ,pero al ver tanto comentario negativo ,se me quitaron las ganas ja ja",negative,-1,,,,
Naia Leroy,Bien,5,gp:AOqpTOF0hBahtltmsH9gJ5iXAlrsmtN61ILCrX3DLnlY7cV1Ia3PcpxtGZoO5i_g0Psf0cq5roj4GE8s_KE7Pw4,0,2021-06-29 18:33,"The sentiment of the text ""Bien"" is generally positive. This is a Spanish word that translates to ""good"" or ""well"" in English. The sentiment is positive because it indicates a state of satisfaction or approval.",Bien,positive,1,,,,
Luis Angel Luna Lopez,No me manda codigo al waths,1,gp:AOqpTOFb3PSjZ92_7-E1Sli5n3CntcMUURAw2zHpMqgRlIklzu_VzR_ujrkyTxJ0wviiRAkfx4lc0uTWXU8I4bQ,0,2021-06-29 18:31,"The sentiment of the text is neutral. The text is a statement of fact or a complaint, expressing that the person did not receive a code on WhatsApp. There is no explicit positive or negative emotion conveyed in this message.",No me manda codigo al waths,neutral,0,,,,
Jesus Armando,Excelente,5,gp:AOqpTOHea1LUfxVkKjk1Z8db0uZZG6d5fGx855ymYbuZFCEGfpWUVC4Uu9b7QlyielfO_9HFes79bJBaSUFJ7pQ,0,2021-06-29 18:20,"The sentiment of the text is positive. The word ""Excelente"" is Spanish and translates to ""Excellent"" in English, which is generally associated with a positive sentiment.",Excelente,positive,1,,,,
AFMTZ A14!,"Sinceramente es una buena aplicacion pero deberian mejorar el GPS y tambien al tiempo de entregas de pedido, localizarlo por zonas de pronto estas en una y te manda a otra super lejos. Incluso tambien tiene muchas trabas",5,gp:AOqpTOEbJVk9tT80RSP4k9ZziKSnx6enWpt6A6AeTdi0pp9dsg7TjspHDnxp5gkr7zOOuYXBq_f6TXMd0YNfd4s,0,2021-06-29 18:19,"The sentiment of the text is generally negative. The author acknowledges that the application is good, which is a positive sentiment. However, the majority of the text focuses on the issues they have with the application, such as the need for GPS improvement, delivery time, and location issues, which are all negative sentiments. The phrase ""tiene muchas trabas"" also indicates dissatisfaction, further contributing to the overall negative sentiment.","Sinceramente es una buena aplicacion pero deberian mejorar el GPS y tambien al tiempo de entregas de pedido, localizarlo por zonas de pronto estas en una y te manda a otra super lejos. Incluso tambien tiene muchas trabas",positive,1,,,,
Dalma Cabana,Muy conforme...,5,gp:AOqpTOGQ-qp9myktUylbJ6_33ukc_IRKjlOnJZVTiA7xuS7sm1XJKdVN09_S9nOXAfbaZ2CeRcbSkUP71GCHJbA,0,2021-06-29 18:15,"The sentiment of the text is generally positive. The phrase ""Muy conforme"" is Spanish and translates to ""Very satisfied"" in English. This indicates a high level of satisfaction or approval, which is a positive sentiment.",Muy conforme...,positive,1,,,,
fircoSka 25,Excelente,5,gp:AOqpTOEZ0kGmmaopPgpEqv4S59_qRlRw_wpuSUBxkjxG5iBt21WtrVc2y7e-7BqFP6IyuZP_Af10K1rlvct0uVk,0,2021-06-29 18:09,"The sentiment of the text is positive. The word ""Excelente"" is Spanish for ""excellent,"" which conveys a strong positive emotion.",Excelente,positive,1,,,,
Mannu sanz,"Buena, y se entiende nmuy bien",5,gp:AOqpTOFtPO-zSPk8b4LHzyNpKwcB9ZG_99jwXBjVNb8yQL_OKzmVRhZuGqN7md5KKoqt2fj2cI-WTZ_F0L6HrA4,0,2021-06-29 18:05,"The sentiment of the text is generally positive. The text is in Spanish and translates to ""Good, and it's very well understood."" The use of words like ""buena"" (good) and ""muy bien"" (very well) indicate a positive sentiment.","Buena, y se entiende nmuy bien",positive,1,,,,
Christian Echenique,"Te apuran porque los clientes estan apurados, no tienen en cuenta tarifas diferenciadas para autos o motos.",2,gp:AOqpTOFHCaCEr06ena67OSiY4z2JjgW6L3LXMBei5vcUfaery4XW1CXRZY3aXNF0vjivLWJzWTb09uIepWKqvOY,0,2021-06-29 18:03,The sentiment of the text is generally negative. The speaker seems to express dissatisfaction or frustration. They mention being rushed because the clients are in a hurry and complain about the lack of differentiated rates for cars or motorcycles. This indicates a negative experience or sentiment towards the situation or service being described.,"Te apuran porque los clientes estan apurados, no tienen en cuenta tarifas diferenciadas para autos o motos.",negative,-1,,,,
Julian Roa Roa,Exelente,5,gp:AOqpTOHaw9psCs6Ky0-NC0pkYz3hoosNlDz_DSS3yc2R-QYB0SYXMVcKpKTakgF9F9wg90iOBn7bsjjqwcMCSGE,0,2021-06-29 17:55,"The sentiment of the text is positive. The word ""Exelente"" is a misspelling of the Spanish word ""Excelente"", which translates to ""Excellent"" in English. This word is generally used to express a high degree of satisfaction or approval, which is a positive sentiment.",Exelente,positive,1,,,,
Franco muratalla,Da viajes muy largos por muy poca paga,3,gp:AOqpTOEH9eXmg_4NK8vim_IaHHeEM3J1ifX1vrIvjjGb4D17n8ZJjFpLnU8VN1LD6opfFgwV-OKBoj7wLkF6nSM,0,2021-06-29 17:51,"The sentiment of the text is negative. The text is in Spanish and translates to ""Gives very long trips for very little pay."" The sentiment is negative because the speaker expresses dissatisfaction or disappointment with the amount of pay received for the long trips.",Da viajes muy largos por muy poca paga,negative,-1,,,,
Johnatan Garcia,Rapida respuesta a tu solicitud,5,gp:AOqpTOHIdWp9iN5Hpzlag-B6GsMEc1u0-y32nZShhq-JZkO6tuvXWSw2WKban7qw7sXfnaUs4LmNaqyp33RMPPU,0,2021-06-29 17:44,"The sentiment of the text is generally positive. The phrase ""Rapida respuesta a tu solicitud"" translates to ""Quick response to your request"" in English. This implies efficiency and promptness, which are typically associated with positive experiences or outcomes.",Rapida respuesta a tu solicitud,positive,1,,,,
Victor Hugo Jijon Gomez,Bien,5,gp:AOqpTOG-Bs2ueW0_yxVAdDnKekKf3L_Z29JrZu7Vo-Ck3TejFpUnS57yecicmYYxPE2qhRAgV44d13k2CWTGZxE,0,2021-06-29 17:40,"The sentiment of the text ""Bien"" is positive. This is a Spanish word that translates to ""good"" or ""well"" in English. The sentiment is positive because the word ""bien"" is generally used to express approval or satisfaction.",Bien,positive,1,,,,
THE DAMOCLESS,Buena aplicacion,5,gp:AOqpTOE_8VsCPrBkDQw6-W7JhdMg0Va3JVxEfg2NF68cjHjJPO6rXd0_7QwKr__Y4Un-G6bRzJWveHHe1F_HL8g,0,2021-06-29 17:40,"The sentiment of the text is positive. The phrase ""Buena aplicacion"" is Spanish and translates to ""Good application"" in English. This indicates a positive sentiment as the speaker is expressing a positive opinion about the application.",Buena aplicacion,positive,1,,,,
Danicsa Jaian molina,Muy bien,5,gp:AOqpTOHkkwCc3KkIQLxPD5-3Zk-YtbU5lnoljhM6WcZenEVUlrMkpjTgpFbQzujL1f9g2WG7YC_mSpuQI_rRPMs,0,2021-06-29 17:37,"The sentiment of the text is positive. ""Muy bien"" is Spanish for ""very good,"" which indicates a positive sentiment or approval.",Muy bien,positive,1,,,,
Dony Lopez,"Tiene problemas cuando atienden los super no hay como evaluarlos, se demoran lo que les parece.sigo con la misma opinion",2,gp:AOqpTOE-HOcdcbv73GVmY7CoakTqdOotIsuxO9B7nJJyhgSdejsULBTTsm-9zRLMI6GXyahKHEJ4Vi8SxA-cKjk,0,2021-06-29 17:37,"The sentiment of the text is generally negative. The author expresses dissatisfaction with the service they received, mentioning problems and delays. The phrase ""sigo con la misma opinion"" suggests that their negative opinion has not changed, reinforcing the overall negative sentiment.","Tiene problemas cuando atienden los super no hay como evaluarlos, se demoran lo que les parece.sigo con la misma opinion",negative,-1,,,,
Daniela Ortega,"Buena app, tomar en cuenta los pedidos que son muy lejos. Un grave problema con los pedidos que cancelan los clientes, te lo quieren cobrar como si te lo hubieras llevado y esa deuda es para el repartidor...",4,gp:AOqpTOG088R_e31XtlL16U7z-MyhvjIxG3u7jJSR5GSWIcwMl6n727cgQBrWzUaVVcngsex7pnwBkY_tBaITAKI,11,2021-06-29 17:35,"The sentiment of the text is generally negative. The author seems to appreciate the application (""Buena app""), which indicates a positive sentiment. However, the rest of the text discusses issues they have with the app, such as the handling of orders that are far away and a serious problem with customer cancellations being charged to the delivery person. These complaints suggest dissatisfaction, hence the overall negative sentiment.","Buena app, tomar en cuenta los pedidos que son muy lejos. Un grave problema con los pedidos que cancelan los clientes, te lo quieren cobrar como si te lo hubieras llevado y esa deuda es para el repartidor...",positive,1,,,,
Angel Lozada,"Venia bien sin la tarjeta, la busque y la active pensando que podia realizar mejores pedidos y recibir mas dinero, pues solo me ha traido problemas, muchos socios no aceptan la tarjeta y debes pagar con tu dinero que no es problema, el problema es cuando no tienes efectivo, te liberan del pedido pero te afecta en las valoraciones, no estoy de acuerdo,mi modo de trabajo es con auto aceptacion. Prefiero trabajar sin tarjeta. Mi desempe√±o es del 100% pero asi no! Porque te suspenden sin tener culpa",1,gp:AOqpTOHlIY94hpT4RwqeJwDspdju1NwbkZrLtpQzDmqxm_o-Y7KwVL39BhZr73r07GA0gBS4E4K6ZXvF2n6qh84,0,2021-06-29 17:34,"The sentiment of the text is generally negative. The author expresses dissatisfaction and frustration with a card they activated, expecting it to improve their orders and income. However, they encountered problems such as many partners not accepting the card and having to pay with their own money, especially when they don't have cash. They also mention negative impacts on their ratings and suspension, despite their high performance. They prefer to work without the card and disagree with the current situation.","Venia bien sin la tarjeta, la busque y la active pensando que podia realizar mejores pedidos y recibir mas dinero, pues solo me ha traido problemas, muchos socios no aceptan la tarjeta y debes pagar con tu dinero que no es problema, el problema es cuando no tienes efectivo, te liberan del pedido pero te afecta en las valoraciones, no estoy de acuerdo,mi modo de trabajo es con auto aceptacion. Prefiero trabajar sin tarjeta. Mi desempe√±o es del 100% pero asi no! Porque te suspenden sin tener culpa",positive,1,,,,
Jesus Andres Perez Lagos,Se me gusta,5,gp:AOqpTOHJTFgtrrZic5Yy1pEFNSPUsF6BKK3h0ccbzWFr-xBSh3hnndvR7ck27zxreCuRlYhcHM2BF4V9LmGDs3I,0,2021-06-29 17:22,"The sentiment of the text ""Se me gusta"" is neutral. This phrase is in Spanish and it's not grammatically correct. The correct form should be ""Me gusta"" which means ""I like it"". However, without any additional context or specific details, it's difficult to determine a positive or negative sentiment. Therefore, the sentiment is considered neutral.",Se me gusta,positive,1,,,,
